Nuclide,Isomeric,Z,Jp,DecayMode,BranchRatio,Ex_MeV,Q_MeV,Status,Hf_inequality,Hf,Hf_err_u,Hf_err_d,Hf_unit,Abundance_per,Abundance_err_per,Mass,Mass_err,IfSystematics,HalfLife_sec
18F,,9,1+,EC,100.00,0,1.655,unstable,EQUAL,109.77,0.05,0.05,M,,,0.873,0,,6.59E+03
18F,M,9,1-,A,,4.86,0.445,unstable,EQUAL,0.46,1.2e-15,1.2e-15,PS,,,5.733,0,,4.60E-14
18F,M,9,1-,IT,,4.86,4.86,unstable,EQUAL,0.46,1.2e-15,1.2e-15,PS,,,5.733,0,,4.60E-14
18F,M,9,4+,IT,,5.2976,5.298,unstable,EQUAL,0.21,0.03,0.03,PS,,,6.1706,0,,2.10E-14
18F,M,9,4+,A,,5.2976,0.883,unstable,EQUAL,0.21,0.03,0.03,PS,,,6.1706,0,,2.10E-14
18F,M,9,3(-),A,,5.502,1.087,unstable,EQUAL,0.44,0.17,0.17,PS,,,6.375,0,,4.40E-14
18F,M,9,3(-),IT,,5.502,5.502,unstable,EQUAL,0.44,0.17,0.17,PS,,,6.375,0,,4.40E-14
18F,M,9,2-,A,,5.786,1.371,unstable,EQUAL,0.10,0.7,0.7,PS,,,6.659,0,,1.00E-14
18F,M,9,2-,IT,,5.786,5.786,unstable,EQUAL,0.10,0.7,0.7,PS,,,6.659,0,,1.00E-14
19F,,9,1/2+,,,0,0,stable,,,,,,100,,-1.4874,0,,0.00E+00
19F,M,9,5/2-,A,,4.6825,0.668,unstable,EQUAL,0.011,2e-18,2e-18,PS,,,3.1951,0,,1.10E-14
19F,M,9,5/2+,A,,5.1066,1.093,unstable,LT,0.21,,,PS,,,3.6192,0,,2.10E-14
19F,M,9,1/2(+),A,,5.337,1.323,unstable,LE,0.07,,,FS,,,3.8496,0,,7.00E-17
19F,M,9,7/2+,A,,5.4635,1.45,unstable,LE,0.18,,,FS,,,3.9761,0,,1.80E-16
19F,M,9,5/2-,A,,5.621,1.607,unstable,LT,0.9,,,FS,,,4.1336,0,,9.00E-16
20F,,9,2+,B-,100.00,0,7.025,unstable,EQUAL,11.07,0.06,0.06,S,,,-0.017,0,,1.11E+01
21F,,9,5/2+,B-,100.00,0,5.684,unstable,EQUAL,4.158,2e-15,2e-15,S,,,-0.047,0.001,,4.16E+00
22F,,9,(4+),B-,100.00,0,10.818,unstable,EQUAL,4.23,4e-16,4e-16,S,,,2.793,0.012,,4.23E+00
22F,,9,(4+),BN,<11.00,0,0.454,unstable,EQUAL,4.23,4e-16,4e-16,S,,,2.793,0.012,,4.23E+00
23F,,9,5/2+,B-,100.00,0,8.484,unstable,EQUAL,2.23,0.14,0.14,S,,,3.309,0.1,,2.23E+00
24F,,9,(1,2,3)+,B-,100.00,0,13.511,unstable,EQUAL,390,70,70,MS,,,7.559,0.072,,3.90E-01
24F,,9,(1,2,3)+,BN,<5.90,0,4.642,unstable,EQUAL,390,70,70,MS,,,7.559,0.072,,3.90E-01
25F,,9,5/2+,B-,100.00,0,13.381,unstable,EQUAL,80,9,9,MS,,,11.363,0.075,,8.00E-02
25F,,9,5/2+,BN,23.10,0,9.153,unstable,EQUAL,80,9,9,MS,,,11.363,0.075,,8.00E-02
26F,,9,(1+),B-,100.00,0,17.842,unstable,EQUAL,9.7,0.7,0.7,MS,,,18.665,0.077,,9.70E-03
26F,,9,(1+),BN,11.00,0,12.309,unstable,EQUAL,9.7,0.7,0.7,MS,,,18.665,0.077,,9.70E-03
27F,,9,(5/2+),B-,100.00,0,17.857,unstable,EQUAL,5.0,2,2,MS,,,24.629,0.19,,5.00E-03
27F,,9,(5/2+),BN,77.00,0,16.426,unstable,EQUAL,5.0,2,2,MS,,,24.629,0.19,,5.00E-03
28F,,9,,,,0,0,unstable,LT,40,,,NS,,,33.115,0.503,S,4.00E-08
29F,,9,(5/2+),B-,100.00,0,22.239,unstable,EQUAL,2.5,0.3,0.3,MS,,,39.952,0.578,S,2.50E-03
29F,,9,(5/2+),BN,100.00,0,20.981,unstable,EQUAL,2.5,0.3,0.3,MS,,,39.952,0.578,S,2.50E-03
30F,,9,,N,,0,0.536,unstable,EQUAL,,,,,,,48.4,0.596,S,0.00E+00
31F,,9,,BN,,0,25.116,unstable,GT,250,,,NS,,,55.944,0.597,S,2.50E-07
31F,,9,,B-,,0,25.447,unstable,GT,250,,,NS,,,55.944,0.597,S,2.50E-07
16Ne,,10,0+,2P,100.00,0,1.411,unstable,EQUAL,9E-21,,,S,,,23.996,0.02,,9.00E-21
17Ne,,10,1/2-,EC,100.00,0,14.509,unstable,EQUAL,109.2,0.6,0.6,MS,,,16.5,0,,1.09E-01
